DBN,School Name,Year,Total Enrollment,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,2024-25,383,0.1253263652324676,0.0234986953437328,0.3394255936145782,0.0313315913081169,0.0,0.4804177582263946,0.0,K,4,0.18798956274986267,0.15143603086471558,0.6631853580474854,0.6626989245414734
20K310,The School For Future Leaders,2024-25,539,0.8385899662971497,0.0055658626370131,0.0890538021922111,0.0111317252740263,0.0,0.0556586273014545,0.0,K,0,0.144712433218956,0.3617810904979706,0.8961039185523987,0.8542801737785339
20K331,The Detective WenJian Liu School of Civics and Ent,2024-25,31,0.2903225719928741,0.0322580635547637,0.6129032373428345,0.0,0.0,0.0645161271095275,0.0,K,2,0.32258063554763794,0.6129032373428345,0.8064516186714172,0.8837000131607056
20K407,"School of Technology, Arts, and Research",2024-25,116,0.1465517282485962,0.0,0.3879310488700866,0.0258620698004961,0.0086206896230578,0.4310344755649566,0.0,K,4,0.2068965584039688,0.07758620381355286,0.7586206793785095,0.6611896753311157
20K413,Joanne Seminara School of Law and Medicine,2024-25,27,0.1481481492519378,0.0,0.3333333432674408,0.0,0.0,0.5185185074806213,0.0,K,4,0.18518517911434174,0.29629629850387573,0.7407407164573669,0.7630000114440918
20K445,New Utrecht High School,2024-25,3212,0.41220423579216,0.0193026158958673,0.3592776954174042,0.0043586548417806,0.0031133249867707,0.1914694905281067,0.0102739725261926,K,0,0.16158157587051392,0.2151307612657547,0.8113325238227844,0.8134486079216003
20K485,High School of Telecommunication Arts and Technolo,2024-25,1209,0.2026468217372894,0.0363937132060527,0.5508685111999512,0.0090984283015131,0.0049627791158854,0.1811414361000061,0.0148883378133177,K,2,0.22167080640792847,0.11497104912996292,0.7990074157714844,0.8069892525672913
20K490,Fort Hamilton High School,2024-25,4066,0.312100350856781,0.020905066281557,0.3125922381877899,0.0090998522937297,0.0041810134425759,0.3243974447250366,0.0167240537703037,K,4,0.15272995829582214,0.18199704587459564,0.7525823712348938,0.7704041600227356
20K503,P.S. 503: The School of Discovery,2024-25,557,0.1454219073057174,0.0,0.7594255208969116,0.0053859963081777,0.0071813287213444,0.0825852751731872,0.0,K,2,0.31956911087036133,0.5888689160346985,0.9407540559768677,0.9153878092765808
20K505,Franklin Delano Roosevelt High School,2024-25,3412,0.3736811280250549,0.0562719814479351,0.3968347012996673,0.0046893316321074,0.0052754981443285,0.1567995250225067,0.0064478311687707,K,0,0.1694021075963974,0.3138921558856964,0.8426142930984497,0.8851664662361145
20K506,P.S. 506: The School of Journalism & Technology,2024-25,335,0.2776119410991668,0.0,0.6656716465950012,0.0029850746504962,0.0029850746504962,0.0507462695240974,0.0,K,2,0.2805970013141632,0.4000000059604645,Above 95%,0.9334298372268677
20K609,Urban Assembly School for Leadership and Empowerme,2024-25,497,0.5130784511566162,0.0543259568512439,0.1911468803882599,0.0140845067799091,0.0301810856908559,0.1971831023693084,0.0,K,0,0.1589537262916565,0.15694165229797363,0.863179087638855,0.8773420453071594
20K682,The Academy of Talented Scholars,2024-25,385,0.3220779299736023,0.0155844157561659,0.0961038991808891,0.0155844157561659,0.0,0.5480519533157349,0.0025974025484174,K,4,0.20779220759868622,0.28311687707901,0.6987013220787048,0.7087922096252441
20K686,Brooklyn School of Inquiry,2024-25,501,0.3892215490341186,0.0618762485682964,0.0518962070345878,0.0558882243931293,0.0,0.4411177635192871,0.0,K,4,0.09181636571884155,0.06986027956008911,0.371257483959198,0.4258243441581726
20K748,P.S. 748 Brooklyn School for Global Scholars,2024-25,430,0.4209302365779876,0.0,0.2767441868782043,0.0162790697067976,0.0116279069334268,0.2744185924530029,0.0,K,0,0.19069766998291016,0.2069767415523529,0.8209302425384521,0.7756953239440918
20K768,District 20 Pre-K Center,2024-25,1252,0.3522364199161529,0.0183706078678369,0.3578274846076965,0.0143769970163702,0.0055910544469952,0.2507987320423126,0.0007987220305949,K,0,0.18210862576961517,0.0,0.6373801827430725,0.6742358207702637
20K936,MS 936 Arts Off 3rd,2024-25,442,0.0837104097008705,0.0067873303778469,0.7126696705818176,0.0180995482951402,0.0022624435368925,0.1764705926179886,0.0,K,2,0.2194570153951645,0.11990950256586075,0.7601810097694397,0.7667239904403687
20K939,Sunset School of Cultural Learning,2024-25,269,0.1338289976119995,0.0111524164676666,0.7509293556213379,0.0185873601585626,0.0,0.0855018571019172,0.0,K,2,0.27137547731399536,0.21933086216449738,0.8810408711433411,0.8747435212135315
20K971,"School of Math, Science, and Healthy Living",2024-25,170,0.2529411911964416,0.0,0.6294117569923401,0.0117647061124444,0.0,0.105882354080677,0.0,K,2,0.24117647111415863,0.38823530077934265,0.9470587968826294,0.8791058659553528
21K090,P.S. 90 Edna Cohen School,2024-25,496,0.151209682226181,0.2157258093357086,0.4193548262119293,0.0141129028052091,0.0100806448608636,0.1895161271095276,0.0,K,1,0.22983871400356293,0.22379031777381897,Above 95%,0.9322056174278259
21K095,P.S. 095 The Gravesend,2024-25,924,0.3430736064910888,0.0476190485060215,0.3354978263378143,0.0151515156030654,0.0086580086499452,0.25,0.0,K,0,0.17965367436408997,0.18073593080043793,0.8311688303947449,0.7917954325675964
21K096,I.S. 096 Seth Low,2024-25,868,0.2523041367530823,0.0587557591497898,0.3364055156707763,0.0046082949265837,0.0023041474632918,0.3444700539112091,0.0011520737316459,K,4,0.22235022485256195,0.30645161867141724,0.8594470024108887,0.8329043984413147
21K097,P.S. 97 The Highlawn,2024-25,896,0.484375,0.0122767854481935,0.2299107164144516,0.015625,0.0089285718277096,0.2488839328289032,0.0,K,0,0.1785714328289032,0.2544642984867096,0.7745535969734192,0.7470089197158813
21K098,I.S. 98 Bay Academy,2024-25,1440,0.3527777791023254,0.0236111115664243,0.09375,0.0159722231328487,0.0041666668839752,0.5027777552604675,0.0069444444961845,K,4,0.10347222536802292,0.02569444477558136,0.6083333492279053,0.6167171597480774
21K099,P.S. 099 Isaac Asimov,2024-25,855,0.4631578922271728,0.0397660806775093,0.1859649121761322,0.0093567250296473,0.0116959065198898,0.2900584936141968,0.0,K,0,0.12631578743457794,0.3286549746990204,0.8678362369537354,0.8761848211288452
21K100,P.S. 100 The Coney Island School,2024-25,584,0.0702054798603057,0.0239726025611162,0.0410958901047706,0.0102739725261926,0.0034246575087308,0.8510273694992065,0.0,K,4,0.18321917951107025,0.21061643958091736,0.6506849527359009,0.6381524205207825
21K101,P.S. 101 The Verrazano,2024-25,1117,0.5559534430503845,0.0089525515213608,0.1629364341497421,0.0098478067666292,0.0080572962760925,0.2542524635791778,0.0,K,0,0.18621307611465454,0.18710832297801971,0.7770814895629883,0.7422981262207031
21K121,P.S. 121 Nelson A. Rockefeller,2024-25,306,0.2483660131692886,0.0457516349852085,0.3464052379131317,0.0294117648154497,0.0098039219155907,0.3202614486217499,0.0,K,4,0.26143792271614075,0.3235294222831726,0.8039215803146362,0.7802451252937317
21K128,P.S. 128 Bensonhurst,2024-25,442,0.2986425459384918,0.0339366532862186,0.2217194586992263,0.0158371049910783,0.011312217451632,0.418552041053772,0.0,K,4,0.20361991226673126,0.438914030790329,0.8981900215148926,0.8600814342498779
