DBN,School Name,Year,% Asian and Pacific Islander,% Black,% Hispanic,% Multi-Racial,% Native American,% White,% Missing Race/Ethnicity Data,Borough,kmeans_label
09X517,Frederick Douglass Academy III Secondary School,2024-25,0.0,0.4235807955265045,0.5502183437347412,0.008733624592423439,0.013100436888635159,0.0043668122962117195,0.0,X,1
09X525,Bronx Leadership Academy High School,2024-25,0.0027027027681469917,0.31621623039245605,0.6432432532310486,0.0027027027681469917,0.018918918445706367,0.01621621660888195,0.0,X,1
09X543,High School for Violin and Dance,2024-25,0.009009009227156639,0.2522522509098053,0.7027027010917664,0.009009009227156639,0.009009009227156639,0.018018018454313278,0.0,X,2
09X555,Mount Eden Children's Academy,2024-25,0.0025252525229007006,0.18939393758773804,0.7929292917251587,0.007575757801532745,0.0025252525229007006,0.005050505045801401,0.0,X,2
09X564,Claremont International HS,2024-25,0.007594936527311802,0.23037974536418915,0.7341772317886353,0.0,0.015189873054623604,0.007594936527311802,0.005063291173428297,X,2
09X568,Young Women's Leadership School of the Bronx,2024-25,0.0359281450510025,0.2594810426235199,0.6706587076187134,0.0019960079807788134,0.009980039671063423,0.01796407252550125,0.003992015961557627,X,1
09X582,Garden of Learning and Discovery Pre-K Center,2024-25,0.0,0.3333333432674408,0.6274510025978088,0.0,0.02450980432331562,0.014705882407724857,0.0,X,1
09X593,South Bronx International Middle School,2024-25,0.0,0.08965517580509186,0.8965517282485962,0.0,0.0,0.013793103396892548,0.0,X,2
09X594,New Pathways Academy,2024-25,0.0,0.3636363744735718,0.6083915829658508,0.0,0.0,0.0139860138297081,0.0139860138297081,X,1
09X644,Bronx Debate Academy,2024-25,0.007633587811142206,0.17557251453399658,0.7862595319747925,0.0,0.022900763899087906,0.007633587811142206,0.0,X,2
10X003,P.S. 3 Raul Julia Micro Society,2024-25,0.009463722817599773,0.3059936761856079,0.6687697172164917,0.0063091483898460865,0.0,0.009463722817599773,0.0,X,1
10X007,Milton Fein School,2024-25,0.05524861812591553,0.0883977934718132,0.7430939078330994,0.033149171620607376,0.0027624310459941626,0.07734806835651398,0.0,X,2
10X008,P.S. 008 Isaac Varian,2024-25,0.08019640296697617,0.08019640296697617,0.7823240756988525,0.004909983836114407,0.011456628330051899,0.040916528552770615,0.0,X,2
10X009,P.S. 9 Ryer Avenue Elementary School,2024-25,0.010482179932296276,0.1530398279428482,0.805031418800354,0.0020964359864592552,0.0020964359864592552,0.027253668755292892,0.0,X,2
10X015,P.S. X015 Institute for Environmental Learning,2024-25,0.005305039696395397,0.08222811669111252,0.9018567800521851,0.0,0.010610079392790794,0.0,0.0,X,2
10X020,"PS/MS 20 P.O.George J. Werdann, III",2024-25,0.0699126124382019,0.11610487103462219,0.7553058862686157,0.006242197472602129,0.012484394945204258,0.039950061589479446,0.0,X,2
10X023,P.S. 023 The New Children's School,2024-25,0.005970149300992489,0.25671643018722534,0.7104477882385254,0.005970149300992489,0.014925372786819935,0.005970149300992489,0.0,X,2
10X024,P.S. 024 Spuyten Duyvil,2024-25,0.0606468990445137,0.07681940495967865,0.46226415038108826,0.05525606498122215,0.004043126478791237,0.34097033739089966,0.0,X,4
10X032,P.S. 032 Belmont,2024-25,0.005649717524647713,0.18455743789672852,0.764595091342926,0.005649717524647713,0.013182674534618855,0.02636534906923771,0.0,X,2
10X033,P.S. 033 Timothy Dwight,2024-25,0.01123595517128706,0.10486891120672226,0.846441924571991,0.00374531839042902,0.018726591020822525,0.013732833787798882,0.0012484394246712327,X,2
10X037,P.S. X037 - Multiple Intelligence School,2024-25,0.006726457271724939,0.1704035848379135,0.8094170689582825,0.0022421525791287422,0.0022421525791287422,0.008968610316514969,0.0,X,2
10X045,Thomas C. Giordano Middle School 45,2024-25,0.017897091805934906,0.14765100181102753,0.8031319975852966,0.00671140942722559,0.011185682378709316,0.01342281885445118,0.0,X,2
10X046,P.S. 046 Edgar Allan Poe,2024-25,0.017628205940127373,0.15064102411270142,0.7980769276618958,0.006410256493836641,0.009615384973585606,0.017628205940127373,0.0,X,2
10X051,The Bronx STEM and Arts Academy,2024-25,0.0,0.28082191944122314,0.664383590221405,0.0,0.02054794505238533,0.034246575087308884,0.0,X,1
10X054,P.S./I.S. 54,2024-25,0.01785714365541935,0.1875,0.7708333134651184,0.0029761905316263437,0.008928571827709675,0.011904762126505375,0.0,X,2
10X056,P.S. 056 Norwood Heights,2024-25,0.20358306169509888,0.07980456203222275,0.6123778223991394,0.02117263898253441,0.011400651186704636,0.07166124135255814,0.0,X,2
10X059,P.S. 059 The Community School of Technology,2024-25,0.0,0.3027777671813965,0.6694444417953491,0.0055555556900799274,0.008333333767950535,0.013888888992369175,0.0,X,1
10X077,Bedford Park Elementary School,2024-25,0.17620137333869934,0.04805491864681244,0.6864988803863525,0.004576658830046654,0.016018306836485863,0.06864988803863525,0.0,X,2
10X080,J.H.S. 080 The Mosholu Parkway,2024-25,0.0543859638273716,0.11754386126995087,0.7912280559539795,0.0,0.008771929889917374,0.028070176020264626,0.0,X,2
10X081,P.S. 081 Robert J. Christen,2024-25,0.05865921825170517,0.07541899383068085,0.47625699639320374,0.05167597904801369,0.004189944360405207,0.33240222930908203,0.001396648003719747,X,4
10X085,P.S. 085 Great Expectations,2024-25,0.00872093066573143,0.2877906858921051,0.6860465407371521,0.0058139534667134285,0.0058139534667134285,0.0058139534667134285,0.0,X,1
10X086,P.S. 086 Kingsbridge Heights,2024-25,0.026196928694844246,0.06413730978965759,0.8780487775802612,0.008130080997943878,0.00542005430907011,0.018066847696900368,0.0,X,2
10X091,P.S. 091 Bronx,2024-25,0.033898305147886276,0.10451977699995041,0.8079096078872681,0.0028248587623238564,0.02259887009859085,0.028248587623238564,0.0,X,2
10X094,P.S. 094 Kings College School,2024-25,0.11022576689720154,0.1288180649280548,0.7237715721130371,0.009296149015426636,0.013280212879180908,0.014608234167098999,0.0,X,2
10X095,P.S. 095 Sheila Mencher,2024-25,0.049065422266721725,0.15537382662296295,0.7511682510375977,0.009345794096589088,0.007009345572441816,0.02570093423128128,0.002336448524147272,X,2
10X118,J.H.S. 118 William W. Niles,2024-25,0.15531915426254272,0.21276596188545227,0.5680851340293884,0.008510638028383255,0.027659574523568153,0.027659574523568153,0.0,X,1
10X141,Riverdale / Kingsbridge Academy (Middle School / H,2024-25,0.06245461106300354,0.09150326997041702,0.6100217700004578,0.028322439640760422,0.005809731315821409,0.2011619508266449,0.0007262164144776762,X,2
10X159,P.S. 159 Luis Munoz Marin Biling,2024-25,0.0,0.12318840622901917,0.8695651888847351,0.0,0.007246376946568489,0.0,0.0,X,2
10X205,P.S. 205 Fiorello LaGuardia,2024-25,0.013779527507722378,0.13779526948928833,0.7913385629653931,0.005905511789023876,0.007874015718698502,0.04330708831548691,0.0,X,2
10X206,I.S. 206 Ann Mersereau,2024-25,0.0,0.11063829809427261,0.8723404407501221,0.0042553190141916275,0.0042553190141916275,0.008510638028383255,0.0,X,2
10X207,P.S. 207,2024-25,0.02380952425301075,0.1111111119389534,0.7936508059501648,0.007936508394777775,0.0026455025654286146,0.06084655970335007,0.0,X,2
10X209,P.S. 209,2024-25,0.012048192322254181,0.15060241520404816,0.7710843086242676,0.01807228848338127,0.0060240961611270905,0.04216867312788963,0.0,X,2
10X213,Bronx Engineering and Technology Academy,2024-25,0.0498533733189106,0.25513195991516113,0.6451612710952759,0.0,0.01173020526766777,0.032258063554763794,0.005865102633833885,X,1
10X225,Theatre Arts Production Company School,2024-25,0.004672897048294544,0.24766355752944946,0.7102803587913513,0.002336448524147272,0.004672897048294544,0.009345794096589088,0.02102803811430931,X,2
10X226,P.S. 226,2024-25,0.009554140269756317,0.1656050980091095,0.808917224407196,0.0,0.006369426846504211,0.009554140269756317,0.0,X,2
10X228,Jonas Bronck Academy,2024-25,0.07323232293128967,0.14141413569450378,0.7373737096786499,0.0025252525229007006,0.01262626238167286,0.032828282564878464,0.0,X,2
10X237,"The Marie Curie High School for Medicine, Nursing,",2024-25,0.003759398590773344,0.2631579041481018,0.6879699230194092,0.007518797181546688,0.007518797181546688,0.030075188726186752,0.0,X,2
10X243,West Bronx Academy for the Future,2024-25,0.0069808028638362885,0.15357765555381775,0.8219895362854004,0.0034904014319181442,0.0017452007159590721,0.010471204295754433,0.0017452007159590721,X,2
10X244,The New School for Leadership and Journalism,2024-25,0.019538188353180885,0.07104795426130295,0.875666081905365,0.007104795891791582,0.0017761989729478955,0.02486678585410118,0.0,X,2
10X246,P.S. 246 Poe Center,2024-25,0.02350427396595478,0.10042735189199448,0.8333333134651184,0.006410256493836641,0.0,0.03632478788495064,0.0,X,2
10X254,I.S. 254,2024-25,0.014492753893136978,0.14251208305358887,0.8019323945045471,0.007246376946568489,0.007246376946568489,0.026570048183202744,0.0,X,2
10X264,Bronx Academy for Software Engineering (BASE),2024-25,0.032345011830329895,0.24797843396663666,0.6630727648735046,0.008086252957582474,0.008086252957582474,0.032345011830329895,0.008086252957582474,X,1
10X268,Kingsbridge International High School,2024-25,0.019417475908994675,0.033980581909418106,0.9126213788986206,0.0,0.009708737954497337,0.02427184395492077,0.0,X,2
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",2024-25,0.019999999552965164,0.16153846681118011,0.8030769228935242,0.004615384619683027,0.003076923079788685,0.007692307699471712,0.0,X,2
10X280,P.S./M.S. 280 Mosholu Parkway,2024-25,0.09050445258617401,0.09347181022167206,0.7744807004928589,0.005934718064963818,0.004451038781553507,0.031157270073890686,0.0,X,2
10X284,Bronx School of Law and Finance,2024-25,0.024096384644508362,0.21987952291965485,0.7228915691375732,0.0030120480805635452,0.0030120480805635452,0.021084336563944817,0.0060240961611270905,X,2
10X291,P.S. 291,2024-25,0.0,0.0670926496386528,0.9073482155799866,0.00319488812237978,0.00319488812237978,0.01916932873427868,0.0,X,2
10X306,P.S. 306,2024-25,0.0,0.26178011298179626,0.717277467250824,0.002617801073938608,0.005235602147877216,0.013089004904031754,0.0,X,2
10X308,Bronx Dance Academy School,2024-25,0.011111111380159855,0.1259259283542633,0.8296296000480652,0.007407407276332378,0.011111111380159855,0.014814814552664757,0.0,X,2
10X310,P.S. 310 Marble Hill,2024-25,0.0,0.09661835432052612,0.8816425204277039,0.01690821163356304,0.004830917809158564,0.0,0.0,X,2
10X315,P.S. 315 Lab School,2024-25,0.02415458858013153,0.10628019273281097,0.8454106450080872,0.0,0.0,0.02415458858013153,0.0,X,2
10X319,Providing Urban Learners Success In Education High,2024-25,0.0,0.2931937277317047,0.6596858501434326,0.0,0.010471204295754433,0.03664921596646309,0.0,X,1
10X331,The Bronx School of Young Leaders,2024-25,0.005730659235268831,0.18911175429821014,0.7908309698104858,0.005730659235268831,0.0028653296176344156,0.005730659235268831,0.0,X,2
10X340,P.S. 340,2024-25,0.03392857313156128,0.09107142686843872,0.8357142806053162,0.0071428571827709675,0.0017857142956927419,0.02857142873108387,0.0017857142956927419,X,2
10X342,International School for Liberal Arts,2024-25,0.0,0.0,0.9979715943336487,0.0,0.0,0.0020283975172787905,0.0,X,2
10X344,Ampark Neighborhood,2024-25,0.04262294992804527,0.1213114783167839,0.6295081973075867,0.06885246187448502,0.013114754110574722,0.12459016591310501,0.0,X,2
10X351,Bronx Collaborative High School,2024-25,0.027586206793785095,0.13333334028720856,0.7195402383804321,0.0,0.013793103396892548,0.02068965509533882,0.08505747467279434,X,2
10X353,World View High School,2024-25,0.035087719559669495,0.15629984438419342,0.760765552520752,0.003189792623743415,0.00637958524748683,0.017543859779834747,0.020733652636408806,X,2
10X360,P.S. 360,2024-25,0.021276595070958138,0.07801418751478195,0.8758864998817444,0.003546099178493023,0.0,0.021276595070958138,0.0,X,2
10X363,Academy For Personal Leadership And Excellence,2024-25,0.01498127356171608,0.12983770668506622,0.8302122354507446,0.00374531839042902,0.006242197472602129,0.01498127356171608,0.0,X,2
10X368,In-Tech Academy (M.S. / High School 368),2024-25,0.020876826718449593,0.07202505320310593,0.8653444647789001,0.004175365436822176,0.008350730873644352,0.028183715417981148,0.001043841359205544,X,2
10X374,Knowledge and Power Preparatory Academy Internatio,2024-25,0.021834060549736023,0.22052401304244995,0.692139744758606,0.006550218444317579,0.010917030274868011,0.04803493618965149,0.0,X,2
10X386,School for Environmental Citizenship,2024-25,0.014109347015619278,0.14462080597877502,0.8183421492576599,0.005291005130857229,0.005291005130857229,0.012345679104328156,0.0,X,2
10X390,M.S. 390,2024-25,0.0031250000465661287,0.17499999701976776,0.8031250238418579,0.0062500000931322575,0.0031250000465661287,0.00937500037252903,0.0,X,2
10X391,The Angelo Patri Middle School,2024-25,0.0029411765281111,0.2088235318660736,0.770588219165802,0.0,0.008823529817163944,0.008823529817163944,0.0,X,2
10X396,P.S. 396,2024-25,0.018518518656492233,0.18981482088565826,0.7685185074806213,0.004629629664123058,0.009259259328246117,0.009259259328246117,0.0,X,2
10X397,English Language Learners and International Suppor,2024-25,0.007246376946568489,0.27898550033569336,0.6920289993286133,0.0,0.014492753893136978,0.007246376946568489,0.0,X,1
10X433,High School for Teaching and the Professions,2024-25,0.02140672691166401,0.1498470902442932,0.8103975653648376,0.0030581040773540735,0.0030581040773540735,0.00917431153357029,0.0030581040773540735,X,2
10X434,Belmont Preparatory High School,2024-25,0.009118541143834591,0.22188450396060944,0.7325227856636047,0.006079027429223061,0.012158054858446121,0.018237082287669182,0.0,X,2
10X437,Fordham High School for the Arts,2024-25,0.03703703731298447,0.2735042870044708,0.6581196784973145,0.005698005668818951,0.011396011337637901,0.011396011337637901,0.0028490028344094753,X,1
10X438,Fordham Leadership Academy,2024-25,0.010958904400467873,0.23835615813732147,0.698630154132843,0.0,0.019178081303834915,0.030136985704302788,0.002739726100116968,X,2
10X439,Bronx High School for Law and Community Service,2024-25,0.02777777798473835,0.18333333730697632,0.7388888597488403,0.0027777778450399637,0.011111111380159855,0.03611111268401146,0.0,X,2
10X440,DeWitt Clinton High School,2024-25,0.068088598549366,0.260869562625885,0.611156702041626,0.004922067280858755,0.01886792480945587,0.028712058439850807,0.007383100688457489,X,1
10X442,"Celia Cruz Bronx High School of Music, The",2024-25,0.024570023640990257,0.2678132653236389,0.6732186675071716,0.014742014929652214,0.0,0.009828009642660618,0.009828009642660618,X,1
10X445,The Bronx High School of Science,2024-25,0.6075177788734436,0.05418218672275543,0.10091432183980942,0.03352522850036621,0.005756857339292765,0.1981036216020584,0.0,X,0
10X447,Creston Academy,2024-25,0.00477326987311244,0.12649165093898773,0.861575186252594,0.0,0.00477326987311244,0.00238663493655622,0.0,X,2
